FL.No.116,284.00,-248.00,74.00,0.00
FL.No.117,281.00,-249.00,73.00,0.00
FL.No.118,277.00,-249.00,73.00,0.00
FL.No.119,273.00,-250.00,72.00,0.00
FL.No.120,268.00,-252.00,72.00,0.00
FL.No.121,263.00,-253.00,72.00,0.00
FL.No.122,257.00,-255.00,71.00,0.00
FL.No.123,252.00,-257.00,71.00,0.00
FL.No.124,245.00,-260.00,71.00,0.00
FL.No.125,239.00,-263.00,71.00,0.00
FL.No.126,233.00,-267.00,71.00,0.00
FL.No.127,226.00,-272.00,71.00,0.00
FL.No.128,220.00,-277.00,71.00,0.00
FL.No.129,214.00,-284.00,71.00,0.00
FL.No.130,209.00,-291.00,71.00,0.00
FL.No.131,204.00,-299.00,71.00,0.00
FL.No.132,199.00,-308.00,72.00,0.00
FL.No.133,196.00,-317.00,72.00,0.00
FL.No.134,193.00,-326.00,72.00,0.00
FL.No.135,191.00,-335.00,73.00,0.00
FL.No.136,189.00,-345.00,74.00,0.00
FL.No.137,188.00,-354.00,74.00,0.00
FL.No.138,187.00,-363.00,76.00,0.00
FL.No.139,188.00,-372.00,77.00,0.00
FL.No.140,188.00,-380.00,78.00,0.00
FL.No.141,189.00,-389.00,80.00,0.00
FL.No.142,191.00,-397.00,81.00,0.00
FL.No.143,193.00,-404.00,82.00,0.00
FL.No.144,196.00,-412.00,84.00,0.00
FL.No.145,200.00,-419.00,84.00,0.00
FL.No.146,204.00,-426.00,85.00,0.00
FL.No.147,209.00,-432.00,86.00,0.00
FL.No.148,214.00,-437.00,86.00,0.00
FL.No.149,220.00,-442.00,86.00,0.00
FL.No.150,225.00,-447.00,87.00,0.00
FL.No.151,231.00,-451.00,87.00,0.00
FL.No.152,237.00,-455.00,88.00,0.00
FL.No.153,244.00,-459.00,88.00,0.00
FL.No.154,250.00,-462.00,89.00,0.00
FL.No.155,256.00,-465.00,89.00,0.00
FL.No.156,262.00,-467.00,90.00,0.00
FL.No.157,268.00,-470.00,91.00,0.00
FL.No.158,274.00,-472.00,91.00,0.00
FL.No.159,280.00,-473.00,92.00,0.00
FL.No.160,287.00,-474.00,93.00,0.00
FL.No.161,293.00,-475.00,93.00,0.00
FL.No.162,299.00,-474.00,93.00,0.00
FL.No.163,304.00,-474.00,93.00,0.00
FL.No.164,310.00,-473.00,93.00,0.00
FL.No.165,316.00,-472.00,93.00,0.00
FL.No.166,322.00,-471.00,92.00,0.00
FL.No.167,327.00,-469.00,92.00,0.00
FL.No.168,332.00,-467.00,91.00,0.00
FL.No.169,337.00,-465.00,90.00,0.00
FL.No.170,342.00,-462.00,90.00,0.00
FL.No.171,346.00,-459.00,89.00,0.00
FL.No.172,351.00,-456.00,89.00,0.00
FL.No.173,356.00,-452.00,88.00,0.00
FL.No.174,360.00,-448.00,87.00,0.00
FL.No.175,364.00,-444.00,86.00,0.00
FL.No.176,368.00,-440.00,86.00,0.00
FL.No.177,372.00,-435.00,85.00,0.00
FL.No.178,375.00,-431.00,84.00,0.00
FL.No.179,378.00,-426.00,83.00,0.00
FL.No.180,380.00,-421.00,82.00,0.00
FL.No.181,383.00,-416.00,82.00,0.00
FL.No.182,385.00,-411.00,81.00,0.00
FL.No.183,386.00,-405.00,80.00,0.00
FL.No.184,388.00,-400.00,80.00,0.00
FL.No.185,390.00,-395.00,80.00,0.00
FL.No.186,391.00,-390.00,79.00,0.00
FL.No.187,392.00,-385.00,79.00,0.00
FL.No.188,393.00,-380.00,78.00,0.00
FL.No.189,393.00,-374.00,78.00,0.00
FL.No.190,393.00,-368.00,78.00,0.00
FL.No.191,392.00,-362.00,77.00,0.00
FL.No.192,391.00,-356.00,77.00,0.00
FL.No.193,389.00,-350.00,76.00,0.00
FL.No.194,387.00,-343.00,76.00,0.00
FL.No.195,384.00,-336.00,75.00,0.00
FL.No.196,380.00,-329.00,74.00,0.00
FL.No.197,376.00,-322.00,74.00,0.00
FL.No.198,371.00,-315.00,73.00,0.00
FL.No.199,366.00,-309.00,72.00,0.00
FL.No.200,361.00,-303.00,72.00,0.00
FL.No.201,355.00,-297.00,71.00,0.00
FL.No.202,350.00,-292.00,71.00,0.00
FL.No.203,344.00,-288.00,70.00,0.00
FL.No.204,338.00,-284.00,70.00,0.00
FL.No.205,332.00,-281.00,70.00,0.00
FL.No.206,327.00,-278.00,70.00,0.00
FL.No.207,321.00,-275.00,70.00,0.00
FL.No.208,316.00,-273.00,70.00,0.00
FL.No.209,310.00,-272.00,71.00,0.00
FL.No.210,305.00,-271.00,71.00,0.00
FL.No.211,300.00,-270.00,71.00,0.00
FL.No.212,294.00,-269.00,71.00,0.00
FL.No.213,289.00,-268.00,71.00,0.00
FL.No.214,284.00,-268.00,71.00,0.00
FL.No.215,278.00,-268.00,71.00,0.00
FL.No.216,273.00,-268.00,71.00,0.00
FL.No.217,268.00,-268.00,71.00,0.00
FL.No.218,264.00,-268.00,71.00,0.00
FL.No.219,260.00,-268.00,72.00,0.00
FL.No.220,256.00,-269.00,71.00,0.00
FL.No.221,252.00,-270.00,71.00,0.00
FL.No.222,249.00,-272.00,71.00,0.00
FL.No.223,246.00,-274.00,70.00,0.00
FL.No.224,242.00,-276.00,70.00,0.00
FL.No.225,239.00,-278.00,69.00,0.00
FL.No.226,236.00,-281.00,69.00,0.00
FL.No.227,232.00,-283.00,69.00,0.00
FL.No.228,228.00,-286.00,69.00,0.00
FL.No.229,225.00,-289.00,69.00,0.00
FL.No.230,221.00,-291.00,70.00,0.00
FL.No.231,217.00,-294.00,70.00,0.00
FL.No.232,212.00,-298.00,71.00,0.00
FL.No.233,208.00,-301.00,72.00,0.00
